DAM_X,DAM_Y,DAM_Z,filename,frame_id,pnt_id,x,y,Xc,Yc,FWHMx,FWHMy
-58,-18,-48,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-058.Yn-018.Zn-048191_0001.fits,2,6.0,663.0,316.0,663.2776736253335,311.4643288640902,14.535119103417447,11.282324611871514
-58,-18,-48,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-058.Yn-018.Zn-048191_0001.fits,2,7.0,2326.0,321.0,2327.215780619152,315.6095594939786,11.798030474993489,7.7901341156799715
-58,-18,-48,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-058.Yn-018.Zn-048191_0001.fits,2,8.0,3533.0,297.0,3538.316165118832,298.90783447337355,8.910344443098225,7.20479478884578
-57,-17,-47,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-057.Yn-017.Zn-047191_0001.fits,3,0.0,657.0,3808.0,658.7232923536354,3797.130816283858,20.0,17.85326508372885
-57,-17,-47,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-057.Yn-017.Zn-047191_0001.fits,3,1.0,2326.0,3785.0,2324.111621482373,3781.901562970861,17.095913835198886,13.296736912948539
-57,-17,-47,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-057.Yn-017.Zn-047191_0001.fits,3,2.0,3530.0,3794.0,3535.1798248026425,3789.5739920843967,13.90933327948898,11.440309059590717
-57,-17,-47,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-057.Yn-017.Zn-047191_0001.fits,3,3.0,699.0,2055.0,696.1650687654557,2052.4134075346146,16.746558215568612,15.256615034855285
-57,-17,-47,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-057.Yn-017.Zn-047191_0001.fits,3,4.0,2344.0,2046.0,2345.5326010352064,2047.4270620169164,10.788781128560473,9.086588593131303
-57,-17,-47,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-057.Yn-017.Zn-047191_0001.fits,3,5.0,3544.0,2046.0,3545.522876351846,2043.0253956416263,10.252049693840796,9.790841100263394
-57,-17,-47,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-057.Yn-017.Zn-047191_0001.fits,3,6.0,663.0,316.0,663.4051219110364,311.6576311112763,13.810724429671552,10.676793862159652
-57,-17,-47,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-057.Yn-017.Zn-047191_0001.fits,3,7.0,2326.0,321.0,2327.1739137477916,315.7708664265483,11.139322134449383,7.230179792840303
-57,-17,-47,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-057.Yn-017.Zn-047191_0001.fits,3,8.0,3533.0,297.0,3538.170888953292,299.1143090076333,8.217274981533564,6.593143049229332
-56,-16,-46,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-056.Yn-016.Zn-046191_0001.fits,4,0.0,657.0,3808.0,658.8914646793917,3796.9319352451553,20.0,17.349270119293372
-56,-16,-46,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-056.Yn-016.Zn-046191_0001.fits,4,1.0,2326.0,3785.0,2324.0027202031565,3781.70686641701,17.356093941266625,13.549037994705085
-56,-16,-46,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-056.Yn-016.Zn-046191_0001.fits,4,2.0,3530.0,3794.0,3535.0083240206927,3789.457627147198,13.387515078761552,11.29973636953425
-56,-16,-46,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-056.Yn-016.Zn-046191_0001.fits,4,3.0,699.0,2055.0,696.3364463073218,2052.5203831891563,16.09747021400998,14.620431524243802
-56,-16,-46,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-056.Yn-016.Zn-046191_0001.fits,4,4.0,2344.0,2046.0,2345.450006310788,2047.4826595364802,9.978744299175313,8.652086089336745
-56,-16,-46,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-056.Yn-016.Zn-046191_0001.fits,4,5.0,3544.0,2046.0,3545.3814092360176,2043.059620136551,9.527784697948526,9.248457075483028
-56,-16,-46,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-056.Yn-016.Zn-046191_0001.fits,4,6.0,663.0,316.0,663.5810049620369,311.89164869460075,13.042489586558538,9.995339913518269
-56,-16,-46,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-056.Yn-016.Zn-046191_0001.fits,4,7.0,2326.0,321.0,2327.081166174272,315.99373156992465,10.30992481479319,6.662857356277561
-56,-16,-46,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-056.Yn-016.Zn-046191_0001.fits,4,8.0,3533.0,297.0,3538.001512545944,299.3203292882788,7.482207896347141,5.970849399978111
-55,-15,-45,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-055.Yn-015.Zn-045191_0001.fits,5,0.0,657.0,3808.0,659.071781024264,3796.6430238046123,19.117344577128492,16.210067027268384
-55,-15,-45,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-055.Yn-015.Zn-045191_0001.fits,5,1.0,2326.0,3785.0,2323.8620516343685,3781.5130320556964,15.649400876109917,12.10169836351261
-55,-15,-45,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-055.Yn-015.Zn-045191_0001.fits,5,2.0,3530.0,3794.0,3534.7219317174336,3789.240620878371,12.177427173537913,10.166515111601832
-55,-15,-45,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-055.Yn-015.Zn-045191_0001.fits,5,3.0,699.0,2055.0,696.4616703899629,2052.4742791038166,15.212505796048234,13.910430267956542
-55,-15,-45,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-055.Yn-015.Zn-045191_0001.fits,5,4.0,2344.0,2046.0,2345.2825311779625,2047.4500136001648,9.123236470263068,7.734813298103934
-55,-15,-45,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-055.Yn-015.Zn-045191_0001.fits,5,5.0,3544.0,2046.0,3545.126903027148,2043.1018243724557,8.735707914873137,8.54619160513513
-55,-15,-45,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-055.Yn-015.Zn-045191_0001.fits,5,6.0,663.0,316.0,663.6965006419401,312.08871134653646,12.219450763416912,9.33125374902621
-55,-15,-45,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-055.Yn-015.Zn-045191_0001.fits,5,7.0,2326.0,321.0,2326.973004453859,316.1920115093905,9.554976622504796,6.053998805317582
-55,-15,-45,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-055.Yn-015.Zn-045191_0001.fits,5,8.0,3533.0,297.0,3537.815353308706,299.520575516662,6.713789577757142,5.331644353291273
-54,-14,-44,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-054.Yn-014.Zn-044191_0001.fits,6,0.0,657.0,3808.0,659.2001551283319,3796.5053023946307,18.61095496112832,15.72721304895085
-54,-14,-44,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-054.Yn-014.Zn-044191_0001.fits,6,1.0,2326.0,3785.0,2323.7702518688134,3781.2730456997924,15.247579423853757,11.787518277084839
-54,-14,-44,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-054.Yn-014.Zn-044191_0001.fits,6,2.0,3530.0,3794.0,3534.4759740793593,3789.129222337512,11.580045515968706,9.785680885723295
-54,-14,-44,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-054.Yn-014.Zn-044191_0001.fits,6,3.0,699.0,2055.0,696.5707812766822,2052.515565033014,14.589758201925699,13.363110240230565
-54,-14,-44,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-054.Yn-014.Zn-044191_0001.fits,6,4.0,2344.0,2046.0,2345.25401766178,2047.4994663414745,8.531753769366542,7.308757405760819
-54,-14,-44,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-054.Yn-014.Zn-044191_0001.fits,6,5.0,3544.0,2046.0,3544.931372840199,2043.1035791743893,8.12771566010406,8.00482593777726
-54,-14,-44,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-054.Yn-014.Zn-044191_0001.fits,6,6.0,663.0,316.0,663.7993746174935,312.3134866572945,11.477173894701588,8.679976799887783
-54,-14,-44,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-054.Yn-014.Zn-044191_0001.fits,6,7.0,2326.0,321.0,2326.904453075582,316.4364231348533,8.770159258949208,5.464794060779265
-54,-14,-44,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-054.Yn-014.Zn-044191_0001.fits,6,8.0,3533.0,297.0,3537.6330120617954,299.69469600596125,6.076889824341679,4.813009651361418
-53,-13,-43,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-053.Yn-013.Zn-043191_0001.fits,7,0.0,657.0,3808.0,659.3481527884109,3796.330791298206,17.780488682400318,15.079318295324153
-53,-13,-43,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-053.Yn-013.Zn-043191_0001.fits,7,1.0,2326.0,3785.0,2323.6203257859725,3781.058102498627,14.496540446610961,10.822668643600673
-53,-13,-43,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-053.Yn-013.Zn-043191_0001.fits,7,2.0,3530.0,3794.0,3534.211364439194,3788.9260605053337,10.656390050340068,9.091120003155543
-53,-13,-43,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-053.Yn-013.Zn-043191_0001.fits,7,3.0,699.0,2055.0,696.7094923166645,2052.5354251191507,13.715991167747054,12.705953908897587
-53,-13,-43,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-053.Yn-013.Zn-043191_0001.fits,7,4.0,2344.0,2046.0,2345.1782569905904,2047.5209419342264,7.708605595178051,6.685714901219852
-53,-13,-43,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-053.Yn-013.Zn-043191_0001.fits,7,5.0,3544.0,2046.0,3544.6196409556474,2043.1333492644899,7.117668191907444,7.288866572826713
-53,-13,-43,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-053.Yn-013.Zn-043191_0001.fits,7,6.0,663.0,316.0,663.9530684374935,312.5251678071716,10.62308912587192,7.966637423143061
-53,-13,-43,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-053.Yn-013.Zn-043191_0001.fits,7,7.0,2326.0,321.0,2326.880506798254,316.62860725456113,7.951653932323529,4.903639831633678
-53,-13,-43,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-053.Yn-013.Zn-043191_0001.fits,7,8.0,3533.0,297.0,3537.5041698911887,299.9004087852111,5.480023260475914,4.235588157565815
-52,-12,-42,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-052.Yn-012.Zn-042191_0001.fits,8,0.0,657.0,3808.0,659.4849357490588,3796.1959580798707,17.051653393306953,14.55042651760757
-52,-12,-42,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-052.Yn-012.Zn-042191_0001.fits,8,1.0,2326.0,3785.0,2323.555140970674,3780.993398811646,13.691344460153127,10.310335003283106
-52,-12,-42,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-052.Yn-012.Zn-042191_0001.fits,8,2.0,3530.0,3794.0,3534.140644933569,3788.8414924875897,10.02544255527818,8.65100953442471
-52,-12,-42,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-052.Yn-012.Zn-042191_0001.fits,8,3.0,699.0,2055.0,696.848463462703,2052.5921713382477,13.153452276034047,12.148008708532746
-52,-12,-42,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-052.Yn-012.Zn-042191_0001.fits,8,4.0,2344.0,2046.0,2345.1295562607716,2047.525028701984,7.05068932698746,6.047857806626123
-52,-12,-42,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-052.Yn-012.Zn-042191_0001.fits,8,5.0,3544.0,2046.0,3544.456049659394,2043.1692319811714,6.504164496383457,6.70207448844596
-52,-12,-42,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-052.Yn-012.Zn-042191_0001.fits,8,6.0,663.0,316.0,664.0439147669499,312.73792032279204,9.88845226110205,7.390603015849361
-52,-12,-42,data/raw/cool4B.01.15/cool4B.01.15.YJ2.ARC.Xn-052.Yn-012.Zn-042191_0001.fits,8,7.0,2326.0,321.0,2326.787151788706,316.8126573729107,7.268139259635687,4.379160002073072
