DAM_X,DAM_Y,DAM_Z,filename,frame_id,pnt_id,x,y,Xc,Yc,FWHMx,FWHMy
-27,13,-17,data/raw/cool4B.01.15/testing_subset/cool4B.01.15.YJ2.ARC.Xn-027.Yp013.Zn-017191_0001.fits,2,5.0,3544.0,2046.0,3537.68700418837,2044.416999263074,4.47664892201623,6.887058933185444
-27,13,-17,data/raw/cool4B.01.15/testing_subset/cool4B.01.15.YJ2.ARC.Xn-027.Yp013.Zn-017191_0001.fits,2,6.0,663.0,316.0,667.4184973283101,317.687069834096,7.153318290529147,4.287049238356368
-27,13,-17,data/raw/cool4B.01.15/testing_subset/cool4B.01.15.YJ2.ARC.Xn-027.Yp013.Zn-017191_0001.fits,2,7.0,2326.0,321.0,2325.424368882905,322.56100084747817,10.035357222044585,8.733872401888398
-27,13,-17,data/raw/cool4B.01.15/testing_subset/cool4B.01.15.YJ2.ARC.Xn-027.Yp013.Zn-017191_0001.fits,2,8.0,3533.0,297.0,3530.1049210552906,305.8155036674092,3.46255892391289,8.25000629144354
-26,14,-16,data/raw/cool4B.01.15/testing_subset/cool4B.01.15.YJ2.ARC.Xn-026.Yp014.Zn-016191_0001.fits,3,0.0,657.0,3808.0,663.2401065402125,3792.383387809502,3.0796586449920342,2.7841147485246887
-26,14,-16,data/raw/cool4B.01.15/testing_subset/cool4B.01.15.YJ2.ARC.Xn-026.Yp014.Zn-016191_0001.fits,3,1.0,2326.0,3785.0,2322.4650016530522,3776.7512156997736,4.950911421035055,4.71401689206319
-26,14,-16,data/raw/cool4B.01.15/testing_subset/cool4B.01.15.YJ2.ARC.Xn-026.Yp014.Zn-016191_0001.fits,3,2.0,3530.0,3794.0,3528.7763751515504,3785.196480482448,4.66496032887283,5.973015963193299
-26,14,-16,data/raw/cool4B.01.15/testing_subset/cool4B.01.15.YJ2.ARC.Xn-026.Yp014.Zn-016191_0001.fits,3,3.0,699.0,2055.0,700.7849604504034,2053.1126839049966,5.3196204908016425,3.615482392908001
-26,14,-16,data/raw/cool4B.01.15/testing_subset/cool4B.01.15.YJ2.ARC.Xn-026.Yp014.Zn-016191_0001.fits,3,4.0,2344.0,2046.0,2344.0567489714845,2048.2363813923994,10.382839333282869,8.65196074192815
-26,14,-16,data/raw/cool4B.01.15/testing_subset/cool4B.01.15.YJ2.ARC.Xn-026.Yp014.Zn-016191_0001.fits,3,5.0,3544.0,2046.0,3538.6551835215596,2044.4188934060412,9.251990643534354,8.423884802308754
-26,14,-16,data/raw/cool4B.01.15/testing_subset/cool4B.01.15.YJ2.ARC.Xn-026.Yp014.Zn-016191_0001.fits,3,6.0,663.0,316.0,667.6405653738684,318.0540268120975,7.835415749626929,4.495514870127053
-26,14,-16,data/raw/cool4B.01.15/testing_subset/cool4B.01.15.YJ2.ARC.Xn-026.Yp014.Zn-016191_0001.fits,3,7.0,2326.0,321.0,2325.3947201354026,322.8195681644858,10.654618787106008,9.35027939272166
-26,14,-16,data/raw/cool4B.01.15/testing_subset/cool4B.01.15.YJ2.ARC.Xn-026.Yp014.Zn-016191_0001.fits,3,8.0,3533.0,297.0,3529.781278662876,305.95513931060157,3.7546953841105735,8.974271530483449
-25,15,-15,data/raw/cool4B.01.15/testing_subset/cool4B.01.15.YJ2.ARC.Xn-025.Yp015.Zn-015191_0001.fits,4,0.0,657.0,3808.0,663.3391871848637,3792.2443716492708,3.321541550882892,2.84325796315148
-25,15,-15,data/raw/cool4B.01.15/testing_subset/cool4B.01.15.YJ2.ARC.Xn-025.Yp015.Zn-015191_0001.fits,4,1.0,2326.0,3785.0,2322.3621783403655,3776.533470914742,5.631204548525965,5.248798428323911
-25,15,-15,data/raw/cool4B.01.15/testing_subset/cool4B.01.15.YJ2.ARC.Xn-025.Yp015.Zn-015191_0001.fits,4,2.0,3530.0,3794.0,3528.1455856244293,3785.1331487630328,4.036190159594198,6.39345854714482
-25,15,-15,data/raw/cool4B.01.15/testing_subset/cool4B.01.15.YJ2.ARC.Xn-025.Yp015.Zn-015191_0001.fits,4,3.0,699.0,2055.0,700.9609481208133,2053.1590667628243,6.067661790118526,4.128305537027369
-25,15,-15,data/raw/cool4B.01.15/testing_subset/cool4B.01.15.YJ2.ARC.Xn-025.Yp015.Zn-015191_0001.fits,4,4.0,2344.0,2046.0,2343.9689016352463,2048.2352178579004,11.19010355957934,9.349952096183618
-25,15,-15,data/raw/cool4B.01.15/testing_subset/cool4B.01.15.YJ2.ARC.Xn-025.Yp015.Zn-015191_0001.fits,4,5.0,3544.0,2046.0,3538.5228025732563,2044.4353308339441,10.431533797258878,9.067794550169964
-25,15,-15,data/raw/cool4B.01.15/testing_subset/cool4B.01.15.YJ2.ARC.Xn-025.Yp015.Zn-015191_0001.fits,4,6.0,663.0,316.0,667.9071633963501,318.4630050506011,8.604850710188229,4.87979257373792
-25,15,-15,data/raw/cool4B.01.15/testing_subset/cool4B.01.15.YJ2.ARC.Xn-025.Yp015.Zn-015191_0001.fits,4,7.0,2326.0,321.0,2325.3962621263627,323.0219296273722,11.66624875237072,10.148517760957771
-25,15,-15,data/raw/cool4B.01.15/testing_subset/cool4B.01.15.YJ2.ARC.Xn-025.Yp015.Zn-015191_0001.fits,4,8.0,3533.0,297.0,3531.134768600609,306.6944511437675,11.057154578023708,9.764608295609447
-24,16,-14,data/raw/cool4B.01.15/testing_subset/cool4B.01.15.YJ2.ARC.Xn-024.Yp016.Zn-014191_0001.fits,5,0.0,657.0,3808.0,663.4301163456362,3792.1082698403866,3.637559365737453,2.958824886813991
